Activity Date,Activity Type,Moving Time,weekday,month,year,day_of_year,Moving Time_normalized
2025-07-07 22:24:13,Ride,5183,0,7,2025,188,1.06012013897458
2025-07-06 13:17:13,Run,4372,6,7,2025,187,0.6831693290376966
2025-07-05 22:00:27,Run,1819,5,7,2025,186,-0.50345880631232
2025-07-04 16:59:49,Run,3325,4,7,2025,185,0.1965262982067262
2025-07-03 21:55:33,Ride,8230,3,7,2025,184,2.476358262128321
2025-07-01 21:18:39,Run,2058,1,7,2025,182,-0.3923721927797489
2025-06-29 17:55:28,Swim,168,6,6,2025,180,-1.2708395550247669
2025-06-29 16:34:29,Run,1763,6,6,2025,180,-0.5294874688973575
2025-06-27 17:26:22,Run,2778,4,6,2025,178,-0.0577179595435515
2025-06-26 00:26:03,Run,961,3,6,2025,177,-0.9022551009187885
2025-06-25 22:32:18,Ride,5748,2,6,2025,176,1.3227307525557626
2025-06-23 17:44:59,Ride,10971,0,6,2025,174,3.750368336156678
2025-06-22 21:04:56,Run,3418,6,6,2025,173,0.23975246999973504
2025-06-21 21:02:25,Ride,478,5,6,2025,172,-1.1267523157147374
2025-06-21 17:03:04,Ride,6308,5,6,2025,172,1.5830173784061383
2025-06-20 23:41:46,Run,2075,4,6,2025,171,-0.3844706344950053
2025-06-19 16:14:31,Swim,222,3,6,2025,170,-1.2457404875320521
2025-06-19 01:08:30,Ride,1951,3,6,2025,170,-0.4421055302190171
2025-06-18 22:08:18,Ride,1559,2,6,2025,169,-0.6243061683142801
2025-06-15 14:30:28,Ride,3923,6,6,2025,166,0.4744752308112346
2025-06-14 18:00:40,Swim,394,5,6,2025,165,-1.165795309592294
2025-06-12 22:47:51,Run,2927,3,6,2025,163,0.011536874834494898
2025-06-12 00:32:28,Run,2166,3,6,2025,163,-0.34217405779431925
2025-06-10 23:27:20,Ride,4403,1,6,2025,161,0.6975780529686995
2025-06-09 21:42:53,Run,2676,0,6,2025,160,-0.10512730925201279
2025-06-07 21:56:00,Run,5524,5,6,2025,158,1.2186161022156123
2025-06-06 23:13:42,Ride,4870,4,6,2025,157,0.9146385070260664
2025-06-06 00:10:36,Run,2903,4,6,2025,157,0.00038173372662165194
2025-06-04 21:05:12,Run,3352,2,6,2025,155,0.20907583195308363
2025-06-02 22:20:55,Ride,8679,0,6,2025,153,2.685052360354783
2025-05-30 19:35:37,Ride,8547,4,5,2025,150,2.6236990842614802
2025-05-30 00:19:33,Run,2093,4,5,2025,150,-0.3761042786641004
2025-05-28 23:57:53,Swim,1034,2,5,2025,148,-0.8683248800490073
2025-05-27 22:46:57,Ride,4829,1,5,2025,147,0.8955818076334496
2025-05-25 13:13:34,Run,368,6,5,2025,145,-1.1778800457924898
2025-05-25 11:00:51,Run,4600,6,5,2025,145,0.7891431695624924
2025-05-25 10:24:48,Run,377,6,5,2025,145,-1.1736968678770374
2025-05-24 15:34:50,Run,2068,5,5,2025,144,-0.387724217318135
2025-05-23 21:51:31,Run,2558,4,5,2025,143,-0.15997341969905626
2025-05-21 21:41:06,Run,1660,2,5,2025,141,-0.5773616161519802
2025-05-20 23:59:12,Run,1444,1,5,2025,140,-0.6777578861228394
2025-05-19 21:59:58,Run,3041,0,5,2025,139,0.06452379509689281
2025-05-17 23:14:30,Run,2339,5,5,2025,137,-0.2617640823083996
2025-05-17 00:04:58,Run,2120,5,5,2025,137,-0.363554744917743
2025-05-15 22:04:32,Run,2834,3,5,2025,135,-0.03168929695851393
2025-05-15 00:37:34,Run,3151,3,5,2025,135,0.11565152517464519
2025-05-12 19:46:29,Ride,3738,0,5,2025,132,0.3884876847713783
2025-05-12 01:19:45,Run,4659,0,5,2025,132,0.8165662247860141
2025-05-10 16:47:57,Run,4166,5,5,2025,130,0.5874210345284512
2025-05-09 23:16:32,Run,3086,4,5,2025,129,0.08543968467415515
2025-05-08 23:03:17,Run,1557,3,5,2025,128,-0.6252357634066029
2025-05-06 21:13:27,Ride,5928,1,5,2025,126,1.406394310864812
2025-05-06 03:53:45,Run,2856,1,5,2025,126,-0.021463750942963454
2025-05-03 21:56:49,Run,2509,5,5,2025,123,-0.18274849946096414
2025-05-03 00:02:29,Run,4140,5,5,2025,123,0.5753362983282552
2025-05-01 22:54:14,Run,4223,3,5,2025,121,0.6139144946596502
2025-04-30 11:29:08,Run,2646,2,4,2025,120,-0.11907123563685434
2025-04-27 16:07:17,Run,2173,6,4,2025,117,-0.33892047497118954
2025-04-27 12:08:21,Run,2454,6,4,2025,117,-0.2083123644998403
2025-04-27 08:07:11,Run,2511,6,4,2025,117,-0.18181890436864134
2025-04-27 04:08:42,Run,2308,6,4,2025,117,-0.27617280623940255
2025-04-27 00:04:28,Run,2225,6,4,2025,117,-0.3147510025707975
2025-04-26 20:06:57,Run,2094,5,4,2025,116,-0.375639481117939
2025-04-26 16:11:22,Run,2293,5,4,2025,116,-0.2831447694318233
2025-04-26 12:09:08,Run,2114,5,4,2025,116,-0.3663435301947113
2025-04-26 08:02:49,Run,2444,5,4,2025,116,-0.21296033996145416
2025-04-26 04:09:27,Run,2296,5,4,2025,116,-0.2817503767933392
2025-04-26 00:10:14,Run,2202,5,4,2025,116,-0.3254413461325094
2025-04-25 20:11:20,Run,2377,4,4,2025,115,-0.244101775554267
2025-04-24 04:49:30,Run,1876,3,4,2025,114,-0.47696534618112096
2025-04-22 21:28:18,Ride,6141,1,4,2025,112,1.5053961881971871
2025-04-19 19:58:47,Ride,7970,5,4,2025,109,2.3555109001263608
2025-04-19 14:06:59,Ride,2513,5,4,2025,109,-0.18088930927631858
2025-04-17 19:38:35,Run,2128,3,4,2025,107,-0.3598363645484519
2025-04-16 19:20:24,Run,2251,2,4,2025,106,-0.3026662663706015
2025-04-14 21:52:52,Run,3471,0,4,2025,104,0.2643867399462885
2025-04-13 17:00:49,Run,4563,6,4,2025,103,0.7719456603545212
2025-04-11 16:03:01,Run,2202,4,4,2025,101,-0.3254413461325094
2025-04-10 22:58:16,Run,3168,3,4,2025,100,0.12355308345938874
2025-04-09 23:28:38,Run,4571,2,4,2025,99,0.7756640407238122
2025-04-08 23:24:46,Run,3216,1,4,2025,98,0.14586336567513522
2025-04-07 21:35:41,Ride,3058,0,4,2025,97,0.07242535338163636
2025-04-04 22:30:34,Run,5557,4,4,2025,94,1.233954421238938
2025-04-03 22:06:30,Run,3050,3,4,2025,93,0.06870697301234528
2025-04-01 21:28:29,Ride,3634,1,4,2025,91,0.34014873997059425
2025-03-31 21:57:38,Run,1971,0,3,2025,90,-0.4328095792957894
2025-03-29 12:57:59,Run,2100,5,3,2025,88,-0.3728506958409707
2025-03-29 11:47:07,Ride,4205,5,3,2025,88,0.6055481388287453
2025-03-29 11:16:03,Swim,1757,5,3,2025,88,-0.5322762541743258
2025-03-28 17:42:31,Swim,1004,4,3,2025,87,-0.8822688064338489
2025-03-27 17:08:57,Ride,2909,3,3,2025,86,0.003170519003589963
2025-03-26 22:51:19,Run,2138,2,3,2025,85,-0.35518838908683803
